Local time,Open,High,Low,Close,Volume
25.07.2025 19:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 19:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 19:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 20:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 21:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 22:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:00:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:15:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:30:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
25.07.2025 23:45:00.000 GMT+0200,29.187,29.187,29.187,29.187,0
